rarete,titre,shiny,atk,def,url
PC,Hans Steinbichler,False,2871,2065,https://fr.wikipedia.org/wiki/Hans_Steinbichler
PC,Hitman pro,False,2795,779,https://fr.wikipedia.org/wiki/Hitman_pro
PC,Hommes,False,3555,6870,https://fr.wikipedia.org/wiki/Hommes
PC,Kovalam,False,3124,5569,https://fr.wikipedia.org/wiki/Kovalam
PC,Le Diable noir,False,2558,3332,https://fr.wikipedia.org/wiki/Le_Diable_noir
PC,Liefmans (bière),False,3017,3599,https://fr.wikipedia.org/wiki/Liefmans_(bi%C3%A8re)
PC,Liste des pièces commémoratives de 2 euros de 2011,False,3448,5706,https://fr.wikipedia.org/wiki/Liste_des_pi%C3%A8ces_comm%C3%A9moratives_de_2_euros_de_2011
PC,Love (album des Beatles),False,3400,3986,https://fr.wikipedia.org/wiki/Love_(album_des_Beatles)
PC,Nathan Tella,False,3197,4104,https://fr.wikipedia.org/wiki/Nathan_Tella
PC,Nédélec,False,3113,3986,https://fr.wikipedia.org/wiki/N%C3%A9d%C3%A9lec
PC,Spathiphyllum floribundum,False,2548,996,https://fr.wikipedia.org/wiki/Spathiphyllum_floribundum
PC,Supermatou,False,3136,3823,https://fr.wikipedia.org/wiki/Supermatou
PC,Vieillespesse,False,3567,6815,https://fr.wikipedia.org/wiki/Vieillespesse
PC,Zatoka,False,3067,4389,https://fr.wikipedia.org/wiki/Zatoka
C,(26363) 1999 AG6,False,1817,4741,https://fr.wikipedia.org/wiki/(26363)_1999_AG6
C,(27749) Tsukadaken,False,1861,4846,https://fr.wikipedia.org/wiki/(27749)_Tsukadaken
C,1968 en philosophie,False,1697,2623,https://fr.wikipedia.org/wiki/1968_en_philosophie
C,Aden Meinel,False,1863,1990,https://fr.wikipedia.org/wiki/Aden_Meinel
C,Administration photo-cinématographique panukrainienne,False,1899,3204,https://fr.wikipedia.org/wiki/Administration_photo-cin%C3%A9matographique_panukrainienne
C,Altoufievski,False,1841,2295,https://fr.wikipedia.org/wiki/Altoufievski
C,Ambassade de France au Suriname,False,2006,5031,https://fr.wikipedia.org/wiki/Ambassade_de_France_au_Suriname
C,Antoine de Laincel,False,1771,4343,https://fr.wikipedia.org/wiki/Antoine_de_Laincel
C,Austrian Business Agency,False,1893,2831,https://fr.wikipedia.org/wiki/Austrian_Business_Agency
C,Becky Smith,False,1709,2153,https://fr.wikipedia.org/wiki/Becky_Smith
C,Bernard Dupraz,False,1732,3948,https://fr.wikipedia.org/wiki/Bernard_Dupraz
C,Canford Cliffs,False,1995,2329,https://fr.wikipedia.org/wiki/Canford_Cliffs
C,Carex mokkwaensis,False,1509,1172,https://fr.wikipedia.org/wiki/Carex_mokkwaensis
C,Caserne Bridoux,False,1878,5148,https://fr.wikipedia.org/wiki/Caserne_Bridoux
C,Championnat de Belgique de football de deuxième division 2005-2006,False,1928,1711,https://fr.wikipedia.org/wiki/Championnat_de_Belgique_de_football_de_deuxi%C3%A8me_division_2005-2006
C,Championnat de France féminin de kin-ball 2010-2011,False,1674,2203,https://fr.wikipedia.org/wiki/Championnat_de_France_f%C3%A9minin_de_kin-ball_2010-2011
C,Château de Garengo,False,1810,3921,https://fr.wikipedia.org/wiki/Ch%C3%A2teau_de_Garengo
C,Conseiller militaire,False,1547,1385,https://fr.wikipedia.org/wiki/Conseiller_militaire
C,Cricri,False,1304,144,https://fr.wikipedia.org/wiki/Cricri
C,"Eric Williams (basket-ball, 1972)",False,1772,1425,"https://fr.wikipedia.org/wiki/Eric_Williams_(basket-ball,_1972)"
C,Evgeny Matveev,False,2039,3133,https://fr.wikipedia.org/wiki/Evgeny_Matveev
C,Famille de paysans de Kahlenberg,False,1619,343,https://fr.wikipedia.org/wiki/Famille_de_paysans_de_Kahlenberg
C,Fernand Thévenet,False,2021,5189,https://fr.wikipedia.org/wiki/Fernand_Th%C3%A9venet
C,Fran Warren,False,1918,4101,https://fr.wikipedia.org/wiki/Fran_Warren
C,Georg Bottmann,False,1744,3019,https://fr.wikipedia.org/wiki/Georg_Bottmann
C,George Hastings,False,1659,3375,https://fr.wikipedia.org/wiki/George_Hastings
C,Institut néerlandais de l'image et du son,False,1738,2116,https://fr.wikipedia.org/wiki/Institut_n%C3%A9erlandais_de_l%27image_et_du_son
C,Isabella Beecher Hooker,False,2172,6217,https://fr.wikipedia.org/wiki/Isabella_Beecher_Hooker
C,Ivan Samoïlovytch,False,1584,2256,https://fr.wikipedia.org/wiki/Ivan_Samo%C3%AFlovytch
C,Jacques Estienne (homonymie),False,1579,3985,https://fr.wikipedia.org/wiki/Jacques_Estienne_(homonymie)
C,Jean-Jacques Keller (fondeur),False,1904,4336,https://fr.wikipedia.org/wiki/Jean-Jacques_Keller_(fondeur)
C,Judith Jáuregui,False,1711,3790,https://fr.wikipedia.org/wiki/Judith_J%C3%A1uregui
C,Kyjov (district de Žďár nad Sázavou),False,1760,3705,https://fr.wikipedia.org/wiki/Kyjov_(district_de_%C5%BD%C4%8F%C3%A1r_nad_S%C3%A1zavou)
C,Le Lac (film),False,1660,1156,https://fr.wikipedia.org/wiki/Le_Lac_(film)
C,Liste des cours d'eau du Soudan,False,1556,1535,https://fr.wikipedia.org/wiki/Liste_des_cours_d%27eau_du_Soudan
C,Liste des diffuseurs des Jeux olympiques d'hiver de 2014,False,2118,4863,https://fr.wikipedia.org/wiki/Liste_des_diffuseurs_des_Jeux_olympiques_d%27hiver_de_2014
C,Liste des gminy de Podlachie,False,2182,2055,https://fr.wikipedia.org/wiki/Liste_des_gminy_de_Podlachie
C,Ludibrium,False,1484,617,https://fr.wikipedia.org/wiki/Ludibrium
C,Luge aux Jeux olympiques de 1994,False,1663,1228,https://fr.wikipedia.org/wiki/Luge_aux_Jeux_olympiques_de_1994
C,Marco Crimi,False,1901,3224,https://fr.wikipedia.org/wiki/Marco_Crimi
C,Martigné (homonymie),False,1437,1083,https://fr.wikipedia.org/wiki/Martign%C3%A9_(homonymie)
C,Mazzè,False,1685,4053,https://fr.wikipedia.org/wiki/Mazz%C3%A8
C,Meedhuizen,False,1649,2065,https://fr.wikipedia.org/wiki/Meedhuizen
C,Meilleur arbitre de l'année de Serie A,False,1716,986,https://fr.wikipedia.org/wiki/Meilleur_arbitre_de_l%27ann%C3%A9e_de_Serie_A
C,Mixage réducteur,False,1665,3222,https://fr.wikipedia.org/wiki/Mixage_r%C3%A9ducteur
C,Monastère de la Sainte-Trinité d'Hébron,False,1811,1975,https://fr.wikipedia.org/wiki/Monast%C3%A8re_de_la_Sainte-Trinit%C3%A9_d%27H%C3%A9bron
C,Moteur d'apogée,False,1624,1670,https://fr.wikipedia.org/wiki/Moteur_d%27apog%C3%A9e
C,Musée de Gorkha,False,1768,1739,https://fr.wikipedia.org/wiki/Mus%C3%A9e_de_Gorkha
C,Newton S. Grimwood,False,1654,4117,https://fr.wikipedia.org/wiki/Newton_S._Grimwood
C,North Gosforth,False,1772,4472,https://fr.wikipedia.org/wiki/North_Gosforth
C,Nova Veneza (Santa Catarina),False,1826,3799,https://fr.wikipedia.org/wiki/Nova_Veneza_(Santa_Catarina)
C,Nuri (lanceur spatial),False,2257,6503,https://fr.wikipedia.org/wiki/Nuri_(lanceur_spatial)
C,Olethreutini,False,1673,2915,https://fr.wikipedia.org/wiki/Olethreutini
C,Outsourced (série télévisée),False,1962,4289,https://fr.wikipedia.org/wiki/Outsourced_(s%C3%A9rie_t%C3%A9l%C3%A9vis%C3%A9e)
C,PRIMES,False,2029,3599,https://fr.wikipedia.org/wiki/PRIMES
C,Partners of the Trail,False,1720,1373,https://fr.wikipedia.org/wiki/Partners_of_the_Trail
C,Petropedetes perreti,False,1669,3407,https://fr.wikipedia.org/wiki/Petropedetes_perreti
C,Porva,False,1537,3339,https://fr.wikipedia.org/wiki/Porva
C,Pseudoterpna,False,1630,2391,https://fr.wikipedia.org/wiki/Pseudoterpna
C,RV Kaimei,False,1919,2841,https://fr.wikipedia.org/wiki/RV_Kaimei
C,Radio Tunisie Culture,False,1899,3689,https://fr.wikipedia.org/wiki/Radio_Tunisie_Culture
C,Raïon Sovietski (Tcheliabinsk),False,2044,5288,https://fr.wikipedia.org/wiki/Ra%C3%AFon_Sovietski_(Tcheliabinsk)
C,Rendu volumique direct,False,1921,4352,https://fr.wikipedia.org/wiki/Rendu_volumique_direct
C,Rent (chanson),False,1672,1944,https://fr.wikipedia.org/wiki/Rent_(chanson)
C,Rivière-Kipawa,False,1595,1380,https://fr.wikipedia.org/wiki/Rivi%C3%A8re-Kipawa
C,Rodolphe Lenz,False,2007,3962,https://fr.wikipedia.org/wiki/Rodolphe_Lenz
C,Ronnie Cowan (homme politique),False,1817,3419,https://fr.wikipedia.org/wiki/Ronnie_Cowan_(homme_politique)
C,Route 346 (Terre-Neuve-et-Labrador),False,1714,2433,https://fr.wikipedia.org/wiki/Route_346_(Terre-Neuve-et-Labrador)
C,Rue Galvani,False,1675,2823,https://fr.wikipedia.org/wiki/Rue_Galvani
C,Ryan Johnston,False,1893,2680,https://fr.wikipedia.org/wiki/Ryan_Johnston
C,Région des Ilocos,False,1626,2156,https://fr.wikipedia.org/wiki/R%C3%A9gion_des_Ilocos
C,Saving Face,False,1553,899,https://fr.wikipedia.org/wiki/Saving_Face
C,Scytodes maresi,False,1698,4490,https://fr.wikipedia.org/wiki/Scytodes_maresi
C,Septième arrondissement électoral du Nord (Douai) de 1821 à 1830,False,1751,3285,https://fr.wikipedia.org/wiki/Septi%C3%A8me_arrondissement_%C3%A9lectoral_du_Nord_(Douai)_de_1821_%C3%A0_1830
C,Shiromine-ji,False,1786,4511,https://fr.wikipedia.org/wiki/Shiromine-ji
C,Shorter (Alabama),False,1782,3868,https://fr.wikipedia.org/wiki/Shorter_(Alabama)
C,Sport en Éthiopie,False,1910,3170,https://fr.wikipedia.org/wiki/Sport_en_%C3%89thiopie
C,Stary Jawornik,False,1341,1176,https://fr.wikipedia.org/wiki/Stary_Jawornik
C,Stephen Mallory,False,1764,1828,https://fr.wikipedia.org/wiki/Stephen_Mallory
C,Sénégal aux Jeux olympiques d'hiver de 1984,False,1666,1725,https://fr.wikipedia.org/wiki/S%C3%A9n%C3%A9gal_aux_Jeux_olympiques_d%27hiver_de_1984
C,Søren P. Larsen,False,1663,1628,https://fr.wikipedia.org/wiki/S%C3%B8ren_P._Larsen
C,TNA Lockdown (2015),False,1846,2331,https://fr.wikipedia.org/wiki/TNA_Lockdown_(2015)
C,Thomas Morell,False,1742,4532,https://fr.wikipedia.org/wiki/Thomas_Morell
C,Thymallus brevirostris,False,1587,1377,https://fr.wikipedia.org/wiki/Thymallus_brevirostris
C,Tournoi de tennis de Zurich (WTA 2001),False,2021,2808,https://fr.wikipedia.org/wiki/Tournoi_de_tennis_de_Zurich_(WTA_2001)
C,Troglodyte bambla,False,1781,4679,https://fr.wikipedia.org/wiki/Troglodyte_bambla
C,Truro and Falmouth (circonscription britannique),False,1720,2984,https://fr.wikipedia.org/wiki/Truro_and_Falmouth_(circonscription_britannique)
C,Vigodarzere,False,1649,3503,https://fr.wikipedia.org/wiki/Vigodarzere
C,Villa Medicea di Arena Metato,False,1682,1839,https://fr.wikipedia.org/wiki/Villa_Medicea_di_Arena_Metato
C,Wattsburg (Pennsylvanie),False,1770,4561,https://fr.wikipedia.org/wiki/Wattsburg_(Pennsylvanie)
C,Willy Zeyn (réalisateur),False,1572,906,https://fr.wikipedia.org/wiki/Willy_Zeyn_(r%C3%A9alisateur)
C,Women's Tour Down Under 2023,False,1963,3989,https://fr.wikipedia.org/wiki/Women%27s_Tour_Down_Under_2023
C,Yamandu,False,1555,982,https://fr.wikipedia.org/wiki/Yamandu
C,Yūko Mori,False,2090,5239,https://fr.wikipedia.org/wiki/Y%C5%ABko_Mori
C,Zaboukh,False,1928,4389,https://fr.wikipedia.org/wiki/Zaboukh
C,Ère Gentoku,False,1769,2989,https://fr.wikipedia.org/wiki/%C3%88re_Gentoku
C,Élections municipales de 2017 en Estrie,False,1732,2530,https://fr.wikipedia.org/wiki/%C3%89lections_municipales_de_2017_en_Estrie
C,Éruption du Huaynaputina en 1600,False,1714,1062,https://fr.wikipedia.org/wiki/%C3%89ruption_du_Huaynaputina_en_1600
C,Éternité (album),False,1851,3940,https://fr.wikipedia.org/wiki/%C3%89ternit%C3%A9_(album)
C,Étoile à CH,False,1644,1902,https://fr.wikipedia.org/wiki/%C3%89toile_%C3%A0_CH
C,Ου,False,1813,2349,https://fr.wikipedia.org/wiki/%CE%9F%CF%85
